the,その,19
to,宛先,14
and,そして,10
in,インチ,8
is,は,8
me,私,7
said,言った,7
futon,布団,7
brown,茶色,5
about,に関しては,5
you,あなたが,5
words,言葉,5
it,それ,5
that,それ,5
we,私たち,4
things,もの,4
this,これ,4
word,単語,4
oj,Oj,4
different,異なる,4
on,に,4
family,家族,3
mr,氏,3
mrs,夫人,3
tom,トム,3
for,の,3
them,それら,3
our,私たち,3
first,まずは,3
short,短い,3
he,彼,3
what,何,3
ll,Ll,3
can,Cna,3
japanese,日本語,3
are,は,3
same,同じ,3
interesting,面白いね,3
day,日,3
last,前の,2
went,行った,2
with,と,2
two,2,2
was,は,2
when,いつ,2
told,言った,2
showed,示した,2
they,彼らが,2
listened,聞いて,2
as,As,2
now,今,2
learned,学んだ,2
one,1 つ,2
him,彼,2
his,彼の,2
also,また,2
english,英語,2
very,すごく,2
but,だがしかし,2
how,どう,2
do,の,2
like,という感じで,2
use,使用,2
your,あなたの,2
home,ホーム,2
japan,日本,2
her,彼女,2
she,彼女が,2
of,の,2
think,考える,2
more,もっとその,2
come,何,2
back,戻る,2
summer,夏,1
new,新機能,1
york,ヨーク,1
stayed,滞在,1
their,彼ら,1
son,彼の,1
weeks,週間,1
everyone,みんな,1
host,ホスト,1
always,いつも,1
kind,種類,1
my,私の,1
some,いくつ か,1
pictures,写真,1
carefully,慎重に,1
old,古い,1
music,音楽,1
together,一緒に,1
talked,話,1
favorite,お気に入り,1
singers,歌手,1
going,行く,1
tell,伝える,1
during,中,1
stay,滞在,1
making,作り,1
heard,聞いた,1
time,時間,1
hamburger,ハンバーガー,1
shop,ショップ,1
clerk,店員,1
please,どうぞ,1
asked,尋ねた,1
does,は,1
mean,意味,1
answered,答えた,1
well,まぁ,1
see,見る,1
guess,推測,1
means,手段,1
cup,カップ,1
wow,うわ ー,1
orange,オレンジ,1
juice,ジュース,1
make,を,1
second,2 番目,1
have,が,1
futons,布団,1
america,アメリカ,1
fifth,第五,1
too,も,1
surprised,驚いて,1
came,来た,1
from,差出人,1
didn,didn,1
notice,通知,1
because,というのは,1
sounded,聞こえた,1
at,で,1
night,夜,1
slept,寝て,1
nice,素晴らしい,1
sofa,ソファ,1
thing,こと,1
called,と呼ばれる,1
wasn,wasn,1
used,使用,1
meanings,意味,1
visiting,訪問,1
another,別の,1
country,国,1
wonderful,いいですね,1
teaches,教えて,1
us,私たち,1
lot,多く,1
know,知って,1
or,または,1
between,間,1
languages,言語,1
good,よし,1
learn,学ぶ,1
other,他,1
countries,国,1
if,もし,1
own,自身,1
language,言語,1
here,ここは,1
kenji,健 二,1
moved,移動,1
by,によって,1
again,再び,1
study,研究,1
still,それでもなお,1
keep,維持,1
mind,心,1
never,ぜんぜん,1
forget,忘れて,1
